mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.7,"40 km NE of Barcelona, Philippines",1702166342418,1702167408040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhu1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhu1&format=geojson,,,,,reviewed,0,340,us,7000lhu1,",us7000lhu1,",",us,",",origin,phase-data,",45.0,7.604,0.65,126.0,mb,earthquake,"M 4.7 - 40 km NE of Barcelona, Philippines"
1.7,"17 km WNW of Mentone, Texas",1702165945605,1702167684698,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ycrh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ycrh&format=geojson,,,,,automatic,0,44,tx,2023ycrh,",tx2023ycrh,",",tx,",",origin,phase-data,",17.0,0.1,0.5,109.0,mlv,earthquake,"M 1.7 - 17 km WNW of Mentone, Texas"
5.0,Reykjanes Ridge,1702165696233,1702167097040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhtz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhtz&format=geojson,,,,,reviewed,0,385,us,7000lhtz,",us7000lhtz,",",us,",",origin,phase-data,",54.0,6.986,0.72,86.0,mb,earthquake,M 5.0 - Reykjanes Ridge
3.73,"146 km NNE of Cruz Bay, U.S. Virgin Islands",1702165513570,1702170749040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023343003,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2023343003&format=geojson,,,,,reviewed,0,214,pr,2023343003,",us7000lhu2,pr2023343003,",",us,pr,",",origin,phase-data,",14.0,1.2077,0.29,306.0,md,earthquake,"M 3.7 - 146 km NNE of Cruz Bay, U.S. Virgin Islands"
0.79,"6 km WNW of The Geysers, CA",1702164523680,1702167914212,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973931,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973931&format=geojson,,,,,automatic,0,10,nc,73973931,",nc73973931,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.006717,0.02,105.0,md,earthquake,"M 0.8 - 6 km WNW of The Geysers, CA"
4.9,"243 km WNW of Gorontalo, Indonesia",1702164451154,1702165115040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhtx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhtx&format=geojson,,,,,reviewed,0,369,us,7000lhtx,",us7000lhtx,",",us,",",origin,phase-data,",51.0,6.141,0.68,88.0,mb,earthquake,"M 4.9 - 243 km WNW of Gorontalo, Indonesia"
1.94,"21 km NW of Parkfield, CA",1702164083520,1702173369746,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973921,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973921&format=geojson,,,,,automatic,0,58,nc,73973921,",nc73973921,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,0.03241,0.07,47.0,md,earthquake,"M 1.9 - 21 km NW of Parkfield, CA"
4.9,Reykjanes Ridge,1702163705354,1702164851040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhtv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhtv&format=geojson,,,,,reviewed,0,369,us,7000lhtv,",us7000lhtv,",",us,",",origin,phase-data,",65.0,7.264,0.8,54.0,mb,earthquake,M 4.9 - Reykjanes Ridge
4.6,"107 km ESE of Pondaguitan, Philippines",1702163610240,1702165352040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhtw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhtw&format=geojson,,,,,reviewed,0,326,us,7000lhtw,",us7000lhtw,",",us,",",impact-text,origin,phase-data,",38.0,5.251,0.54,126.0,mb,earthquake,"M 4.6 - 107 km ESE of Pondaguitan, Philippines"
1.9,"18 km S of Bombay Beach, CA",1702163098090,1702163456474,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618408,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618408&format=geojson,,,,,automatic,0,56,ci,40618408,",ci40618408,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.09352,0.16,255.0,ml,earthquake,"M 1.9 - 18 km S of Bombay Beach, CA"
1.45,"14 km WNW of Calipatria, CA",1702162066300,1702162489142,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618392,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618392&format=geojson,,,,,automatic,0,32,ci,40618392,",ci40618392,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",31.0,0.02891,0.2,52.0,ml,earthquake,"M 1.5 - 14 km WNW of Calipatria, CA"
1.27,"20 km ESE of Anza, CA",1702161975270,1702219611660,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618384,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618384&format=geojson,,,,,reviewed,0,25,ci,40618384,",ci40618384,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",50.0,0.03055,0.18,42.0,ml,earthquake,"M 1.3 - 20 km ESE of Anza, CA"
1.6,"42 km NW of Toyah, Texas",1702161482984,1702163005242,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ycov,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ycov&format=geojson,,,,,automatic,0,39,tx,2023ycov,",tx2023ycov,",",tx,",",origin,phase-data,",10.0,0.0,0.3,138.0,ml,earthquake,"M 1.6 - 42 km NW of Toyah, Texas"
4.6,"161 km ENE of Barcelona, Philippines",1702161080759,1702162796040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhts,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhts&format=geojson,,,,,reviewed,0,326,us,7000lhts,",us7000lhts,",",us,",",origin,phase-data,",42.0,7.717,0.49,44.0,mb,earthquake,"M 4.6 - 161 km ENE of Barcelona, Philippines"
1.9,"1 km SSE of Cole, Oklahoma",1702160397070,1702163171490,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023ycog,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023ycog&format=geojson,2.0,2.8,,,reviewed,0,56,ok,2023ycog,",ok2023ycog,",",ok,",",dyfi,origin,phase-data,",42.0,0.04409134777,0.47,49.0,ml,earthquake,"M 1.9 - 1 km SSE of Cole, Oklahoma"
2.43,"3 km NNE of Guayanilla, Puerto Rico",1702159939880,1702162414960,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71433613,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71433613&format=geojson,,,,,reviewed,0,91,pr,71433613,",pr71433613,",",pr,",",origin,phase-data,",7.0,0.1173,0.24,142.0,md,earthquake,"M 2.4 - 3 km NNE of Guayanilla, Puerto Rico"
1.84000003,"9 km NE of Pāhala, Hawaii",1702159882600,1702160079450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73680127,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73680127&format=geojson,,,,,automatic,0,52,hv,73680127,",hv73680127,",",hv,",",origin,phase-data,",32.0,,0.109999999,128.0,md,earthquake,"M 1.8 - 9 km NE of Pāhala, Hawaii"
0.98,"3 km SE of San Jacinto, CA",1702159670180,1702160136146,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618352,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618352&format=geojson,,,,,automatic,0,15,ci,40618352,",ci40618352,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",32.0,0.0482,0.13,67.0,ml,earthquake,"M 1.0 - 3 km SE of San Jacinto, CA"
0.4,"6 km W of Cobb, CA",1702159651370,1702175169929,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973901&format=geojson,,,,,reviewed,0,2,nc,73973901,",nc73973901,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.01161,0.01,52.0,md,earthquake,"M 0.4 - 6 km W of Cobb, CA"
1.93,"14 km WNW of Calipatria, CA",1702159557950,1702160188730,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618344,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618344&format=geojson,,,,,automatic,0,57,ci,40618344,",ci40618344,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",50.0,0.03034,0.22,32.0,ml,earthquake,"M 1.9 - 14 km WNW of Calipatria, CA"
1.51,"14 km WSW of Niland, CA",1702159106200,1702159707178,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618336,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618336&format=geojson,,,,,automatic,0,35,ci,40618336,",ci40618336,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.02136,0.2,129.0,ml,earthquake,"M 1.5 - 14 km WSW of Niland, CA"
2.4,"13 km N of Sterling, Alaska",1702159082070,1702161430040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023frm6krz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023frm6krz&format=geojson,,,,,automatic,0,89,ak,023frm6krz,",us7000lhtk,ak023frm6krz,",",us,ak,",",origin,phase-data,",,,0.15,,ml,earthquake,"M 2.4 - 13 km N of Sterling, Alaska"
1.45,"13 km WNW of Calipatria, CA",1702159051340,1702159604636,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618328,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618328&format=geojson,,,,,automatic,0,32,ci,40618328,",ci40618328,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",35.0,0.02532,0.2,36.0,ml,earthquake,"M 1.5 - 13 km WNW of Calipatria, CA"
1.7,"35 km NNW of Toyah, Texas",1702159023276,1702161090061,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ycnm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ycnm&format=geojson,,,,,automatic,0,44,tx,2023ycnm,",tx2023ycnm,",",tx,",",origin,phase-data,",15.0,0.0,0.5,69.0,ml,earthquake,"M 1.7 - 35 km NNW of Toyah, Texas"
2.0,"40 km NNE of Petersville, Alaska",1702158972795,1702159105296,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023frm6667,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023frm6667&format=geojson,,,,,automatic,0,62,ak,023frm6667,",ak023frm6667,",",ak,",",origin,phase-data,",,,0.36,,ml,earthquake,"M 2.0 - 40 km NNE of Petersville, Alaska"
1.35,"3 km SE of San Jacinto, CA",1702158927950,1702159426598,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618320,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618320&format=geojson,,,,,automatic,0,28,ci,40618320,",ci40618320,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",54.0,0.04755,0.17,40.0,ml,earthquake,"M 1.4 - 3 km SE of San Jacinto, CA"
1.58,"14 km WNW of Calipatria, CA",1702158597280,1702158982791,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618304,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618304&format=geojson,,,,,automatic,0,38,ci,40618304,",ci40618304,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.02532,0.18,117.0,ml,earthquake,"M 1.6 - 14 km WNW of Calipatria, CA"
2.93,"13 km WNW of Calipatria, CA",1702158364310,1702228415418,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618296,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618296&format=geojson,4.0,3.4,,,reviewed,0,133,ci,40618296,",ci40618296,ew1702158420,us7000lhti,",",ci,ew,us,",",dyfi,nearby-cities,origin,phase-data,scitech-link,shake-alert,",35.0,0.02661,0.24,61.0,ml,earthquake,"M 2.9 - 13 km WNW of Calipatria, CA"
3.12,"14 km WNW of Calipatria, CA",1702158293360,1702228397759,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618288,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618288&format=geojson,4.0,2.2,,,reviewed,0,151,ci,40618288,",ew1702158290,ci40618288,us7000lhtg,",",ew,ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shake-alert,",65.0,0.0355,0.22,33.0,ml,earthquake,"M 3.1 - 14 km WNW of Calipatria, CA"
